
improved BC with CMVAE deeperResNet in standard env

time, gates
01, 30
02, 30
03, 30
04, 1
05, 3
06, 1
07, 9
08, 10
09, 30
10, 30
11, 30
12, 30
13, 30
14, 4
15, 30
16, 7
17, 30

Following improvements:
1. accuracy increased
2. frequency of collide with rectangle border reduced a lot
3. navigation capacity improved



###########################################
improved BC with CMVAE deeperResNet in foggy(30%) env
01, 1
02, 0
03, 3
04, 1
05, 1
06, 0
07, 1
08, 2
09, 1
10, 1

improved BC with CMVAE deeperResNet in foggy(15%) env
01, 2
02, 2
03, 7
04, 1
05, 1

improved BC with CMVAE deeperResNet in foggy(10%) env
01, 1
02, 1
03, 7
04, 1
05, 1

improved BC with CMVAE deeperResNet in foggy(5%) env
01, 30
02, 1
03, 1
04, 8
05, 15
06, 1
07, 8
08, 1
09, 30
10, 18
11, 5
12, 2
13, 16
14, 6
15, 6

###########################################
original BC with original CMVAE in foggy(30%) env
01, 8
02, 2
03, 2
04, 0
05, 1
06, 1
07, 7
08, 6
09, 5
10, 2

original BC with original CMVAE in foggy(5%) env
01, 1
02, 30
03, 10
04, 1
05, 3
06, 7
07, 2
08, 7
09, 1
10, 15
